month;id;name;type;data_status;unique_users;net_reach;unique_clients;visits;impressions;impressions_at_percent;usetime_seconds;usetime_formatted;impressions_per_visits
2025-06-01;84;"kleinezeitung.at";service;OK;2522456;34.961;4139864;23663988;121189408;92.72;270;04:30;5.12
2025-06-01;83;"diepresse.com";service;OK;1991119;27.597;2996220;11108747;26618460;89.20;223;03:43;2.40
2025-07-01;1;"austria.com/plus";adnetwork;OK;4907886;68.023;11039598;68925216;242188139;91.25;238;03:58;3.51
2025-07-01;177;"bvz.at";service;OK;218021;3.022;280320;626500;3691449;93.97;163;02:43;5.89
2025-07-01;146;"tvheute.at - das TV-Magazin";service;OK;572282;7.932;730474;4073463;15981553;91.88;168;02:48;3.92
2025-07-01;126;"tt.com";service;OK;1692805;23.462;2713208;10140929;27607612;85.40;198;03:18;2.72
2025-07-01;123;"regionaljobs.at";service;OK;76864;1.065;122382;164410;538735;88.33;177;02:57;3.28
2025-07-01;122;"tips.at";service;OK;1768156;24.507;1926390;5054433;7412619;91.68;163;02:43;1.47
2025-07-01;81;"sn.at - Salzburger Nachrichten";service;OK;1529770;21.203;2354644;6029206;20197067;86.59;184;03:04;3.35
2025-07-01;80;"salzburg24.at";service;OK;1128339;15.639;1449197;6211702;24639971;91.96;195;03:15;3.97
2025-07-01;64;"nachrichten.at - Nachrichten.at";service;OK;2317001;32.114;2888542;12859212;39398650;93.56;203;03:23;3.06
2025-07-01;54;"noen.at - NÖN";service;OK;1327692;18.402;1590548;6209722;31803350;95.49;167;02:47;5.12
2025-07-01;4;"vol.at - VORARLBERG ONLINE";service;OK;1764686;24.459;2383281;16210223;47646730;91.31;316;05:16;2.94
2025-07-01;3;"vienna.at - VIENNA ONLINE";service;OK;656895;9.105;741737;1544130;2925886;90.04;131;02:11;1.89
2025-07-01;2;"Goldbach Audience";adnetwork;OK;4004966;55.509;6398408;37435778;130771782;93.37;274;04:34;3.49
2025-07-01;1601;"5min.at";service;OK;1825626;25.303;2182561;7555176;12773403;96.12;183;03:03;1.69
2025-07-01;1395;"motorrad-magazin.at";service;OK;33330;0.462;65951;78696;103240;30.95;77;01:17;1.31
2025-07-01;391;"yesss.at";service;OK;81971;1.136;66026;149984;448461;91.91;273;04:33;2.99
