month;id;name;type;data_status;unique_users;net_reach;unique_clients;visits;impressions;impressions_at_percent;usetime_seconds;usetime_formatted;impressions_per_visits
2021-12-01;42;"netdoktor.at";service;OK;691297;10.196;945677;1588306;2726752;93.39;155;02:35;1.72
2021-12-01;46;"autorevue.at";service;OK;166128;2.45;364945;457165;591267;40.73;139;02:19;1.29
2021-12-01;47;"gusto.at";service;OK;465781;6.87;610546;1292031;1928734;75.84;174;02:54;1.49
2021-12-01;48;"news.at";service;OK;527601;7.782;749587;1473868;28303361;93.31;238;03:58;19.20
2021-12-01;49;"trend.at";service;OK;127800;1.885;204839;267409;349690;64.38;141;02:21;1.31
2021-12-01;50;"tv-media.at";service;OK;244245;3.602;307754;1011526;1777317;89.65;209;03:29;1.76
2021-12-01;51;"woman.at ";service;OK;428826;6.325;756829;1427681;3845725;69.84;134;02:14;2.69
2021-12-01;54;"noen.at - NÖN";service;OK;1190827;17.564;1558589;5243591;19111410;96.25;157;02:37;3.64
2021-12-01;57;"oe24.at";service;OK;2847494;41.998;5087468;23139248;146903071;92.19;221;03:41;6.35
2021-12-01;58;"wetter.at";service;OK;561466;8.281;854448;2041656;48770321;76.79;127;02:07;23.89
2021-12-01;61;"fussballoesterreich.at";service;OK;34229;0.505;33563;83218;594339;96.11;271;04:31;7.14
2021-12-01;64;"nachrichten.at - Nachrichten.at";service;OK;1438880;21.222;2087889;9157996;27447974;94.17;245;04:05;3.00
2021-12-01;67;"orf.at";service;OK;5286666;77.974;15330789;134664423;656195294;92.57;373;06:13;4.87
2021-12-01;70;"rollingpin.at";service;OK;31464;0.464;60973;78753;180508;61.75;154;02:34;2.29
2021-12-01;74;"kochbar.de";service;OK;86932;1.282;91529;106267;181294;99.84;103;01:43;1.71
2021-12-01;75;"rtl.de";service;OK;0;0;1071;2855;3886;99.69;145;02:25;1.36
2021-12-01;76;"vip.de";service;OK;256767;3.787;298723;842239;1957706;99.80;189;03:09;2.32
2021-12-01;78;"tvnow.at";service;OK;165708;2.444;192545;1018570;2651469;97.43;563;09:23;2.60
2021-12-01;80;"salzburg24.at";service;OK;972682;14.346;1479185;6673323;20036893;92.88;220;03:40;3.00
2021-12-01;81;"sn.at - Salzburger Nachrichten";service;OK;1074854;15.853;1743940;4352255;30374398;88.20;195;03:15;6.98
2021-12-01;83;"diepresse.com";service;OK;1617195;23.852;2367364;8493868;18588167;91.03;210;03:30;2.19
2021-12-01;84;"kleinezeitung.at";service;OK;2119544;31.262;3689743;16324950;48536653;94.88;223;03:43;2.97
2021-12-01;86;"diva-online.at";service;OK;2330;0.034;6820;7166;8938;68.35;74;01:14;1.25
2021-12-01;87;"ichkoche.at";service;OK;1341128;19.781;2306646;4055362;9463990;71.31;168;02:48;2.33
2021-12-01;88;"ligaportal.at";service;OK;363638;5.363;364243;1924713;9011585;96.81;303;05:03;4.68
2021-12-01;92;"wienerin.at";service;OK;88822;1.31;410883;510995;685226;30.41;103;01:43;1.34
2021-12-01;94;"servustv.com";service;OK;846951;12.492;1368506;2964568;7688881;69.49;227;03:47;2.59
2021-12-01;96;"bergwelten.com";service;OK;188273;2.777;486388;666903;1049487;38.25;177;02:57;1.57
2021-12-01;97;"servus.com";service;OK;282048;4.16;567319;770700;1123302;52.72;164;02:44;1.46
2021-12-01;98;"speedweek.com";service;OK;262558;3.873;1213175;2925288;5152337;20.62;216;03:36;1.76
2021-12-01;99;"shpock.com";service;OK;149734;2.208;178961;358334;2613003;99.30;276;04:36;7.29
2021-12-01;101;"dieabstauber.at";service;OK;0;0;0;0;0;0.00;0;00:00;0.00
2021-12-01;102;"fredl-chatbot.at";service;OK;0;0;0;0;0;0.00;0;00:00;0.00
2021-12-01;103;"skysportaustria.at - Sky Österreich";service;OK;267462;3.945;393000;889673;1172572;81.54;137;02:17;1.32
2021-12-01;104;"skysportaward.at";service;OK;0;0;0;0;0;0.00;0;00:00;0.00
2021-12-01;105;"solidbau.at - SOLID - Wirtschaft und Technik am Bau";service;OK;2514;0.037;7196;11915;21339;76.60;155;02:35;1.79
2021-12-01;107;"laola1.at";service;OK;924775;13.64;1254699;5364915;13407471;90.63;247;04:07;2.50
2021-12-01;110;"springermedizin.at - Springer Medizin";service;OK;1453;0.021;7686;9282;17675;39.94;122;02:02;1.90
2021-12-01;112;"atv.at";service;OK;328057;4.839;381000;910313;3417611;93.20;835;13:55;3.75
2021-12-01;113;"prosieben.at - ProSieben.at";service;OK;141703;2.09;181859;407964;1452326;99.52;426;07:06;3.56
2021-12-01;114;"puls4.com";service;OK;129801;1.914;165889;357790;1055586;92.13;185;03:05;2.95
2021-12-01;115;"sat1.at";service;OK;176080;2.597;189223;393840;1398284;99.48;644;10:44;3.55
2021-12-01;116;"sixx.at";service;OK;48927;0.722;49971;78668;272656;99.01;276;04:36;3.47
2021-12-01;117;"songtexte.com";service;OK;271672;4.007;328228;487278;780745;99.62;194;03:14;1.60
2021-12-01;118;"wetter.com";service;OK;551085;8.128;647832;2603514;5324926;94.21;166;02:46;2.05
2021-12-01;122;"tips.at";service;OK;357268;5.269;494786;860649;2420449;73.99;190;03:10;2.81
2021-12-01;123;"regionaljobs.at";service;OK;35100;0.518;123098;419049;647216;22.74;144;02:24;1.54
2021-12-01;126;"tt.com";service;OK;1212838;17.888;2199621;11090608;32658662;86.93;241;04:01;2.94
2021-12-01;128;"k.at";service;OK;132760;1.958;339622;467698;595894;50.59;123;02:03;1.27
2021-12-01;129;"profil.at";service;OK;610665;9.007;819444;1218304;1913719;85.63;211;03:31;1.57
2021-12-01;131;"events.at";service;OK;84701;1.249;100207;128537;205062;86.11;154;02:34;1.60
2021-12-01;132;"film.at";service;OK;265202;3.912;733123;920814;1497695;44.29;108;01:48;1.63
2021-12-01;133;"futurezone.at - FUTUREZONE.at";service;OK;811352;11.967;1751594;3120799;4358765;61.56;171;02:51;1.40
2021-12-01;134;"kurier.at - KURIER.at";service;OK;3421456;50.464;7439934;30825940;59851904;86.87;197;03:17;1.94
2021-12-01;135;"motor.at";service;OK;146766;2.165;318628;387572;593158;51.26;141;02:21;1.53
2021-12-01;137;"usp.gv.at - Unternehmensservice Portal";service;OK;0;0;0;78;124;100.00;38;00:38;1.59
2021-12-01;139;"uwz.at";service;OK;107139;1.58;117210;382642;697003;97.42;213;03:33;1.82
2021-12-01;140;"wetter.tv";service;OK;55553;0.819;61843;201151;357389;76.09;170;02:50;1.78
2021-12-01;146;"tvheute.at - das TV-Magazin";service;OK;750354;11.067;1004358;4785435;19354183;93.17;179;02:59;4.04
2021-12-01;148;"willhaben.at";service;OK;4219367;62.233;7434633;83096206;1475495969;94.29;595;09:55;17.76
2021-12-01;151;"MeinBezirk.at";service;OK;1898689;28.004;2749526;7167425;23443907;91.43;161;02:41;3.27
2021-12-01;152;"minimed.at";service;OK;257334;3.795;1224971;1618348;1942672;20.24;203;03:23;1.20
2021-12-01;177;"bvz.at";service;OK;157915;2.329;215630;457018;1340242;90.78;153;02:33;2.93
2021-12-01;179;"krone.at";service;OK;3617350;53.353;7881791;66278898;214604649;91.69;345;05:45;3.24
2021-12-01;184;"arboe.at";service;OK;85936;1.267;96426;245989;510313;95.64;165;02:45;2.07
2021-12-01;185;"apo24.at";service;OK;0;0;14;124;145;97.93;43;00:43;1.17
2021-12-01;186;"auskunft.at";service;OK;0;0;67;254;434;96.54;83;01:23;1.71
2021-12-01;187;"drei.at";service;OK;943854;13.921;1209920;6672548;19983649;96.53;374;06:14;2.99
2021-12-01;188;"tele.at";service;OK;310604;4.581;355645;2375555;11515813;95.78;200;03:20;4.85
2021-12-01;189;"oefb.at";service;OK;221785;3.271;410387;806403;7256030;62.96;223;03:43;9.00
2021-12-01;230;"miss.at";service;OK;256840;3.788;923952;1846386;3584306;51.83;122;02:02;1.94
2022-01-01;2;"ausschreibung.at - Ausschreibungen für die Bauwirtschaft";service;OK;20197;0.287;14691;34983;144016;89.10;273;04:33;4.12
2022-01-01;3;"vienna.at - VIENNA ONLINE";service;OK;1172432;16.661;1684504;3907942;7511072;87.09;166;02:46;1.92
2022-01-01;4;"vol.at - VORARLBERG ONLINE";service;OK;1039273;14.769;1696118;12136784;52271996;91.00;314;05:14;4.31
2022-01-01;7;"automobile.at";service;OK;98307;1.397;141305;179847;668514;74.52;187;03:07;3.72
2022-01-01;8;"bdb.at - BAUDATENBANK.AT - Partner der Bauwirtschaft";service;OK;6307;0.09;17928;21962;35743;74.81;134;02:14;1.63
2022-01-01;9;"cineplexx.at";service;OK;491301;6.982;654188;1254080;4422703;94.99;231;03:51;3.53
2022-01-01;13;"gastronews.wien - Gastro News Wien";service;NO_DATA;;;;;;;;;
2022-01-01;14;"derstandard.at - derStandard.at";service;OK;3495420;49.672;7619790;47031942;163515933;89.81;406;06:46;3.48
2022-01-01;18;"elektro.at ";service;OK;29371;0.417;22614;29898;42897;67.03;138;02:18;1.43
2022-01-01;19;"falstaff.at";service;OK;322253;4.579;547907;817012;2456509;68.80;161;02:41;3.01
2022-01-01;20;"falter.at ";service;OK;354352;5.036;535974;940287;2573215;87.52;206;03:26;2.74
2022-01-01;23;"feratel Panoramakameras";service;OK;865658;12.302;6785270;18837661;79450631;15.08;182;03:02;4.22
